نام شرکت تولید کننده,نام شرکت تامین کننده,نام صاحب برند,توزیع کننده,کشور تولید  کننده,نام برند,نام لاتین برند,نام ژنریک,نام ماده موثره, تعداد فروش (بسته) , تعداد در بسته , فروش عددی , فروش ریالی مصرف کننده ,کد ژنریک,OTC,بیولوژیک,ATC Code,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,زولیور   قرص خوراکی 10 mg,ZOLIVER   TABLET ORAL 10 mg,ZOLPIDEM TABLET ORAL 10 mg,ZOLPIDEM," 747,952 ", 30 ," 22,438,560 "," 133,611,729,900 ",6028,0,0,N05CF02,,
Merck Healthcare KGaA,اکتوورکو,Merck Serono,الیت دارو,آلمان,کنکور   قرص خوراکی 10 mg,CONCOR   TABLET ORAL 10 mg,BISOPROLOL FUMARATE TABLET ORAL 10 mg,BISOPROLOL FUMARATE," 102,566 ", 30 ," 3,076,980 "," 130,708,197,600 ",8904,0,0,C07AB07,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,مزالوور   کپسول پیوسته رهش خوراکی 500 mg,"MESALOVER   CAPSULE, EXTENDED RELEASE ORAL 500 mg","MESALAZINE CAPSULE, EXTENDED RELEASE ORAL 500 mg",MESALAZINE," 415,347 ", 28 ," 11,629,716 "," 130,013,416,400 ",50426,0,0,A07EC02,,
Merck Healthcare KGaA,اکتوورکو,Merck Serono,الیت دارو,آلمان,کنکور   قرص خوراکی 5 mg,CONCOR   TABLET ORAL 5 mg,BISOPROLOL FUMARATE TABLET ORAL 5 mg,BISOPROLOL FUMARATE," 102,759 ", 30 ," 3,082,770 "," 122,694,246,000 ",7125,0,0,C07AB07,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,رزورکسین   قرص خوراکی 40 mg,ROSUREXIN   TABLET ORAL 40 mg,ROSUVASTATIN (AS CALCIUM) TABLET ORAL 40 mg,ROSUVASTATIN (AS CALCIUM)," 334,553 ", 30 ," 10,036,590 "," 119,435,421,000 ",7316,0,0,C10AA07,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,کلاتوور   قرص خوراکی 10 mg,CLOTOVER   TABLET ORAL 10 mg,RIVAROXABAN TABLET ORAL 10 mg,RIVAROXABAN," 100,550 ", 30 ," 3,016,500 "," 117,945,420,000 ",17597,0,0,B01AF01,,
Ati Pharmed Pharmaceutical Company,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,فینوسکار   قرص خوراکی 5 mg,FINOSCAR   TABLET ORAL 5 mg,FINASTERIDE TABLET ORAL 5 mg,FINASTERIDE," 476,551 ", 30 ," 14,296,530 "," 117,235,956,000 ",535,0,0,G04CB01,,
Merck Serono S.p.a.,اکتوورکو,Merck Serono S.p.a.,الیت دارو,ایتالیا,گونال-اف   تزریقی پرنترال 600 [iU]/1mL 1.5 [iU],GONAL-F   INJECTION PARENTERAL 600 [iU]/1mL 1.5 [iU],FOLLITROPIN ALFA INJECTION PARENTERAL 600 [iU]/1mL 1.5 mL,FOLLITROPIN ALFA," 2,945 ", 1 ," 2,945 "," 113,647,550,000 ",16068,0,1,G03GA05,,
Merck Serono,اکتوورکو,Merck Europe BV,الیت دارو,سوئیس,پرگووریس   پودر برای تهیه محلول تزریقی پرنترال 150 [iU]/75 [iU]  ug,"PERGOVERIS   INJECTION, POWDER, FOR SOLUTION PARENTERAL 150 [iU]/75 [iU]  ug","FOLLITROPIN ALFA / LUTROPIN ALFA INJECTION, POWDER, FOR SOLUTION PARENTERAL 150 [iU]/75 [iU]",FOLLITROPIN ALFA / LUTROPIN ALFA," 67,287 ", 1 ," 67,287 "," 113,580,456,000 ",50345,0,1,,,
Ati Pharmed Pharmaceutical Company,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,تَنسی   قرص خوراکی 1.5 mg,TANSY   TABLET ORAL 1.5 mg,LEVONORGESTREL TABLET ORAL 1.5 mg,LEVONORGESTREL," 1,597,897 ", 1 ," 1,597,897 "," 111,852,790,000 ",16870,1,0,G03AC03,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,کلاتوور   قرص خوراکی 20 mg,CLOTOVER   TABLET ORAL 20 mg,RIVAROXABAN TABLET ORAL 20 mg,RIVAROXABAN," 88,285 ", 30 ," 2,648,550 "," 108,590,550,000 ",22856,0,0,B01AF01,,
