,Unnamed: 0,supplier,brand_owner,distributor,manufacturer_country,brand_name_fa,preprocessed_index
138,138,الحاوی,الحاوی,الیت دارو,ایران,دیفن هیدرامین-الحاوی   محلول خوراکی 12.5 mg/5ml 60 ml,138
139,139,الحاوی,الحاوی,الیت دارو,ایران,دیفن هیدرامین-الحاوی   محلول خوراکی 12.5 mg/5ml 60 ml,139
140,140,الحاوی,الحاوی,الیت دارو,ایران,دیفن هیدرامین-الحاوی   محلول خوراکی 12.5 mg/5ml 60 ml,140
141,141,پور سینا,پور سینا,الیت دارو,ایران,ویتامین ب1   قرص خوراکی 300 mg,141
142,142,پور سینا,پور سینا,الیت دارو,ایران,ویتامین ب1   قرص خوراکی 300 mg,142
143,143,اکتوورکو,اکتوورکو,الیت دارو,ایران,امپاور پلاس   قرص خوراکی 12.5 mg/1000 mg,143
144,144,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,فماتی   قرص خوراکی 2.5 mg,144
145,145,اکتوورکو,merck kgaa,الیت دارو,آلمان,یوتیروکس   قرص خوراکی 50 ug,145
146,146,اکتوورکو,merck kgaa,الیت دارو,آلمان,یوتیروکس   قرص خوراکی 50 ug,146
147,147,الحاوی,الحاوی,الیت دارو,ایران,دیفن هیدرامین کامپاند-الحاوی   شربت خوراکی 12.5 mg/125 mg/5ml 60 ml,147
148,148,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,فینوسکار   قرص خوراکی 1 mg,148
149,149,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,آملوبر   قرص خوراکی 5 mg,149
150,150,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,کوریول   قرص خوراکی 6.25 mg,150
151,151,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,لیپکسول   تزریقی پرنترال 6 mg/1ml 25 mg,151
152,152,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,اموزل   کپسول انتریک کوتد خوراکی 20 mg,152
153,153,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,اموزل   کپسول انتریک کوتد خوراکی 20 mg,153
154,154,اکتوورکو,اکتوورکو,الیت دارو,ایران,لایریور   کپسول خوراکی 100 mg,154
155,155,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,ابیراترون اکتِ   قرص خوراکی 500 mg,155
156,156,اکتوورکو,merck sharp & dohme,الیت دارو,فرانسه,ستروتاید   پودر برای تهیه محلول تزریقی پرنترال 250 ug  ug,156
157,157,اکتوورکو,اکتوورکو,الیت دارو,ایران,امپاور   قرص خوراکی 25 mg,157
158,158,اکتوورکو,اکتوورکو,الیت دارو,ایران,الپرا   قرص خوراکی 500 mg,158
159,159,اکتوورکو,اکتوورکو,الیت دارو,ایران,الپرا   قرص خوراکی 500 mg,159
160,160,اکتوورکو,اکتوورکو,الیت دارو,ایران,زیگات   قرص خوراکی 200 mg,160
161,161,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,دزولست   قرص خوراکی 0.15 mg/30 ug,161
162,162,اکتوورکو,اکتوورکو,الیت دارو,ایران,تیزانوور   قرص خوراکی 4 mg,162
163,163,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,لیپکسول   تزریقی پرنترال 6 mg/1ml 50 mg,163
164,164,اکتوورکو,اکتوورکو,الیت دارو,ایران,امپاورپلاس   قرص خوراکی 5 mg/1000 mg,164
165,165,اکتوورکو,اکتوورکو,الیت دارو,ایران,آتورکسین   قرص خوراکی 20 mg,165
166,166,اکتوورکو,اکتوورکو,الیت دارو,ایران,رزورکسین   قرص خوراکی 5 mg,166
167,167,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,تموزولومید اکتِ   کپسول خوراکی 100 mg,167
168,168,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,پماکسا   پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 mg  mg,168
169,169,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوور لاکسا   قرص خوراکی 100 mg,169
170,170,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوور لاکسا   قرص خوراکی 100 mg,170
171,171,اکتوورکو,merck serono s.p.a.,الیت دارو,ایتالیا,گونال-اف   تزریقی پرنترال 600 [iu]/1ml 0.5 [iu],171
172,172,اکتوورکو,اکتوورکو,الیت دارو,ایران,انداستوور   قرص خوراکی 4 mg,172
173,173,اکتوورکو,اکتوورکو,الیت دارو,ایران,انداستوور   قرص خوراکی 4 mg,173
174,174,اکتوورکو,اکتوورکو,الیت دارو,ایران,انداستوور   قرص خوراکی 4 mg,174
175,175,اکتوورکو,اکتوورکو,الیت دارو,ایران,لوکسور   کپسول انتریک کوتد خوراکی 30 mg,175
