pharma_company,supplier,brand_owner,distributor,manufacturer_country,brand_name_fa,brand_name_en,generic_name_en,substance_name_en,atc_code
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,کلماستین   قرص خوراکی 1 mg,CLEMASTINE   TABLET ORAL 1 mg,CLEMASTINE TABLET ORAL 1 mg,CLEMASTINE,R06AA04
pars alcohol,پارس الکل,پارس الکل,امید پخش آروند پارسیان,ایران,اتانول   محلول غیر قابل مصرف 96 % 1 L,ETHANOL   SOLUTION NOT APPLICABLE 96 % 1 L,ETHANOL SOLUTION NOT APPLICABLE 96 % 1 L,ETHANOL,V03
Shahid Ghazi Pharmaceutical Co.,داروسازی شهید قاضی,داروسازی شهید قاضی,امید پخش آروند پارسیان,ایران,سدیم کلراید   محلول تزریقی پرنترال 0.45 % 500 mL,"SODIUM CHLORIDE   INJECTION, SOLUTION PARENTERAL 0.45 % 500 mL","SODIUM CHLORIDE INJECTION, SOLUTION PARENTERAL 0.45 % 500 mL",SODIUM CHLORIDE,B05XA03
Emad Darman Pars,عماد درمان پارس,عماد درمان پارس,امید پخش آروند پارسیان,ایران,تریامسینولون-عماد   پماد موضعی 0.1 % 15 g,TRIAMCINOLONE-EMAD   OINTMENT TOPICAL 0.1 % 15 g,TRIAMCINOLONE ACETONIDE OINTMENT TOPICAL 0.1 % 15 g,TRIAMCINOLONE ACETONIDE,D07AB09
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,گاباکیم   کپسول خوراکی 300 mg,GABAKIM   CAPSULE ORAL 300 mg,GABAPENTIN CAPSULE ORAL 300 mg,GABAPENTIN,N03AX12
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,پرگاسول   کپسول خوراکی 150 mg,PREGASOL   CAPSULE ORAL 150 mg,PREGABALIN CAPSULE ORAL 150 mg,PREGABALIN,N03AX16
Sobhan Oncology,داروسازی سبحان انکولوژی,داروسازی سبحان انکولوژی,امید پخش آروند پارسیان,ایران,پکلی تکسل   تزریقی پرنترال 6 mg/1mL 50 mL,PACLITAXEL   INJECTION PARENTERAL 6 mg/1mL 50 mL,PACLITAXEL INJECTION PARENTERAL 6 mg/1mL 50 mL,PACLITAXEL,L01CD01
Toliddaru Pharma. Co.,داروسازی تولید دارو,داروسازی تولید دارو,امید پخش آروند پارسیان,ایران,دیفن هیدرامین   محلول خوراکی 12.5 mg/5mL 60 mL,DIPHENHYDRAMINE   SOLUTION ORAL 12.5 mg/5mL 60 mL,DIPHENHYDRAMINE HYDROCHLORIDE SOLUTION ORAL 12.5 mg/5mL 60 mL,DIPHENHYDRAMINE HYDROCHLORIDE,R06AA02
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,پرگابالین-حکیم   کپسول خوراکی 75 mg,PREGABALIN-HAKIM   CAPSULE ORAL 75 mg,PREGABALIN CAPSULE ORAL 75 mg,PREGABALIN,N03AX16
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,گایافنزین   شربت خوراکی 100 mg/5mL 60 mL,GUAIFENESIN   SYRUP ORAL 100 mg/5mL 60 mL,GUAIFENESIN SYRUP ORAL 100 mg/5mL 60 mL,GUAIFENESIN,R05CA03
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,سینازین   قرص خوراکی 75 mg,CINAZIN   TABLET ORAL 75 mg,CINNARIZINE TABLET ORAL 75 mg,CINNARIZINE,N07CA02
pars alcohol,پارس الکل,پارس الکل,امید پخش آروند پارسیان,ایران,اتانول   محلول غیر قابل مصرف 96 % 1 L,ETHANOL   SOLUTION NOT APPLICABLE 96 % 1 L,ETHANOL SOLUTION NOT APPLICABLE 96 % 1 L,ETHANOL,V03
Toliddaru Pharma. Co.,داروسازی تولید دارو,داروسازی تولید دارو,امید پخش آروند پارسیان,ایران,دیکلوفناک   شیاف مقعدی 100 mg,DICLOFENAC   SUPPOSITORY RECTAL 100 mg,DICLOFENAC SODIUM SUPPOSITORY RECTAL 100 mg,DICLOFENAC SODIUM,M01AB05
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,استامینوفن/کدئین-حکیم   قرص خوراکی 300 mg/20 mg,ACETAMINOPHEN/CODEINE-HAKIM   TABLET ORAL 300 mg/20 mg,ACETAMINOPHEN / CODEINE PHOSPHATE TABLET ORAL 300 mg/20 mg,ACETAMINOPHEN / CODEINE PHOSPHATE,N02BE71
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,زولامین   قرص خوراکی 50 mg,ZOLAMIN   TABLET ORAL 50 mg,SERTRALINE (AS HYDROCHLORIDE) TABLET ORAL 50 mg,SERTRALINE (AS HYDROCHLORIDE),N06AB06
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,ازتیمایب-حکیم   قرص خوراکی 10 mg,EZETIMIBE-HAKIM   TABLET ORAL 10 mg,EZETIMIBE TABLET ORAL 10 mg,EZETIMIBE,C10AX
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,کوتریموکسازول   قرص خوراکی 400 mg/80 mg,CO-TRIMOXAZOLE   TABLET ORAL 400 mg/80 mg,CO-TRIMOXAZOLE TABLET ORAL 400 mg/80 mg,CO-TRIMOXAZOLE,J01EE01
Emad Darman Pars,عماد درمان پارس,عماد درمان پارس,امید پخش آروند پارسیان,ایران,زینک اکسید عماد   پماد موضعی 25 % 30 g,ZINC OXIDE EMAD   OINTMENT TOPICAL 25 % 30 g,ZINC OXIDE OINTMENT TOPICAL 25 % 30 g,ZINC OXIDE,D02AB
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,آ اس آ   قرص انتریک کوتد خوراکی 80 mg,"ASA   TABLET, DELAYED RELEASE ORAL 80 mg","ASA (ACETYLSALICYLIC ACID) TABLET, DELAYED RELEASE ORAL 80 mg",ASA (ACETYLSALICYLIC ACID),B01AC06
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,لووفکت   قرص خوراکی 750 mg,LEVOFECT   TABLET ORAL 750 mg,LEVOFLOXACIN TABLET ORAL 750 mg,LEVOFLOXACIN,J01MA12
Toliddaru Pharma. Co.,داروسازی تولید دارو,داروسازی تولید دارو,امید پخش آروند پارسیان,ایران,آزیترومایسین   کپسول خوراکی 500 mg,AZITHROMYCIN   CAPSULE ORAL 500 mg,AZITHROMYCIN CAPSULE ORAL 500 mg,AZITHROMYCIN,J01FA10
Caspian Tamin Co.,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,امید پخش آروند پارسیان,ایران,آکینیدیک   تزریقی پرنترال 5 mg/1mL  mL,AKINIDIC   INJECTION PARENTERAL 5 mg/1mL  mL,BIPERIDEN LACTATE INJECTION PARENTERAL 5 mg/1mL,BIPERIDEN LACTATE,N04AA02
Sajad Daru Shargh,سجاد داروی شرق,سجاد داروی شرق,امید پخش آروند پارسیان,ایران,کرستوسد   قرص خوراکی 20 mg,CRESTOSAD   TABLET ORAL 20 mg,ROSUVASTATIN (AS CALCIUM) TABLET ORAL 20 mg,ROSUVASTATIN (AS CALCIUM),C10AA07
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,لنسوکیم   کپسول انتریک کوتد خوراکی 15 mg,"LANSOKIM   CAPSULE, DELAYED RELEASE ORAL 15 mg","LANSOPRAZOLE CAPSULE, DELAYED RELEASE ORAL 15 mg",LANSOPRAZOLE,A02BC03
Sobhandarou,سبحان دارو,سبحان دارو,امید پخش آروند پارسیان,ایران,هیدروکینون   کرم موضعی 4 % 30 g,HYDROQUINONE   CREAM TOPICAL 4 % 30 g,HYDROQUINONE CREAM TOPICAL 4 % 30 g,HYDROQUINONE,D11AX11
Jaber Ebne Hayyan,داروسازی جابرابن حیان,داروسازی جابرابن حیان,امید پخش آروند پارسیان,ایران,سفیکسان   پودر برای تهیه سوسپانسیون   خوراکی 100 mg/5 mL 100 mL,"CEFIXAN   POWDER, FOR SUSPENSION ORAL 100 mg/5 mL 100 mL","CEFIXIME POWDER, FOR SUSPENSION ORAL 100 mg/5 mL 100 mL",CEFIXIME,J01DD08
